StockCode,return_order,t_order,b_rate
72802A,4,59,6.78
22832,5,74,6.76
22848,8,119,6.72
23092,9,134,6.72
21208,4,60,6.67
21633,1,15,6.67
21812,3,45,6.67
22057,4,60,6.67
22270,3,45,6.67
22299,3,45,6.67
84251B,1,15,6.67
84461,1,15,6.67
84927A,1,15,6.67
85104,1,15,6.67
85163B,1,15,6.67
84818,7,106,6.60
22167,4,61,6.56
22363,4,61,6.56
22843,8,122,6.56
20979,16,246,6.50
22071,5,77,6.49
22968,10,154,6.49
23085,5,77,6.49
22801,11,170,6.47
84976,2,31,6.45
22846,17,266,6.39
22699,53,836,6.34
21626,5,79,6.33
23079,7,111,6.31
22849,8,127,6.30
21363,6,96,6.25
21642,6,96,6.25
21722,1,16,6.25
22204,2,32,6.25
51020B,1,16,6.25
72802B,5,80,6.25
85160B,1,16,6.25
90058B,1,16,6.25
22501,17,274,6.20
21399,4,65,6.15
23348,8,130,6.15
21622,6,98,6.12
23031,9,147,6.12
22072,9,148,6.08
20803,2,33,6.06
21351,2,33,6.06
21534,8,132,6.06
21743,2,33,6.06
23565,2,33,6.06
84625A,2,33,6.06
21906,6,100,6.00
22720,73,1218,5.99
22230,4,67,5.97
23174,17,285,5.96
22654,14,236,5.93
22698,35,591,5.92
22943,10,169,5.92
21628,1,17,5.88
21644,2,34,5.88
22067,3,51,5.88
22394,1,17,5.88
23494,11,187,5.88
79160,3,51,5.88
84452,1,17,5.88
84968A,3,51,5.88
21463,8,137,5.84
22063,5,86,5.81
21925,4,69,5.80
22780,8,138,5.80
22978,12,209,5.74
22301,11,192,5.73
22697,42,733,5.73
20681,2,35,5.71
22606,8,140,5.71
23032,11,193,5.70
85053,14,247,5.67
21262,3,53,5.66
22840,15,265,5.66
23236,17,301,5.65
22526,4,71,5.63
22070,5,89,5.62
23237,10,179,5.59
20836,1,18,5.56
20854,1,18,5.56
20941,1,18,5.56
22202,1,18,5.56
22494,7,126,5.56
23327,2,36,5.56
23423,3,54,5.56
84609,1,18,5.56
84945,18,324,5.56
85211,1,18,5.56
85066,26,470,5.53
23239,9,164,5.49
22107,4,73,5.48
22320,4,73,5.48
23029,8,146,5.48
23181,4,73,5.48
22963,12,222,5.41
23002,8,148,5.41
79190B,2,37,5.41
22666,47,875,5.37
84459A,3,56,5.36
22059,8,150,5.33
22171,17,320,5.31
22169,16,302,5.30
23252,7,132,5.30
85040A,7,132,5.30
21306,2,38,5.26
21686,1,19,5.26
22102,1,19,5.26
22182,2,38,5.26
22258,2,38,5.26
22263,1,19,5.26
23142,2,38,5.26
23410,1,19,5.26
23567,1,19,5.26
51020A,1,19,5.26
84660A,2,38,5.26
84985A,1,19,5.26
85027L,1,19,5.26
23178,3,58,5.17
85194S,3,58,5.17
22927,7,136,5.15
21218,11,214,5.14
20931,2,39,5.13
21352,2,39,5.13
22924,4,78,5.13
23187,4,78,5.13
85116,2,39,5.13
23176,10,196,5.10
85194L,3,59,5.08
21531,11,217,5.07
17129F,1,20,5.00
20893,1,20,5.00
21456,1,20,5.00
22869,1,20,5.00
23016,1,20,5.00
44234,1,20,5.00
51008,1,20,5.00
79164,1,20,5.00
84228,1,20,5.00
84279B,3,60,5.00
85127,1,20,5.00
84978,30,602,4.98
22424,17,343,4.96
23089,7,141,4.96
22233,4,81,4.94
21820,3,61,4.92
21535,16,326,4.91
23245,37,755,4.90
21246,2,41,4.88
21972,2,41,4.88
23108,18,369,4.88
23166,10,205,4.88
23324,2,41,4.88
21877,15,308,4.87
85178,5,103,4.85
22467,29,599,4.84
23167,9,186,4.84
23408,3,62,4.84
22729,18,376,4.79
21671,14,293,4.78
22725,16,335,4.78
20781,1,21,4.76
20830,1,21,4.76
21129,1,21,4.76
21813,2,42,4.76
21911,1,21,4.76
22201,2,42,4.76
22667,22,462,4.76
22684,3,63,4.76
22882,1,21,4.76
23544,1,21,4.76
35004G,1,21,4.76
72803A,2,42,4.76
84600,1,21,4.76
85088,1,21,4.76
22055,7,149,4.70
23251,5,107,4.67
15058B,2,43,4.65
22065,8,172,4.65
22361,6,129,4.65
23114,2,43,4.65
23409,2,43,4.65
84929,3,65,4.62
22197,50,1085,4.61
21042,5,110,4.55
21264,2,44,4.55
21364,1,22,4.55
21445,1,22,4.55
21850,1,22,4.55
22429,15,330,4.55
23017,1,22,4.55
23244,5,110,4.55
23466,1,22,4.55
37342,3,66,4.55
85025B,1,22,4.55
22859,6,133,4.51
23048,4,89,4.49
23194,8,178,4.49
23527,2,45,4.44
84950,4,91,4.40
21876,9,205,4.39
51014C,5,114,4.39
20802,2,46,4.35
21311,2,46,4.35
21630,1,23,4.35
21788,3,69,4.35
21801,1,23,4.35
21873,4,92,4.35
22221,2,46,4.35
22248,2,46,4.35
22922,4,92,4.35
22928,4,92,4.35
22973,5,115,4.35
23039,1,23,4.35
23139,1,23,4.35
23483,3,69,4.35
72802C,4,92,4.35
84659A,1,23,4.35
84800L,1,23,4.35
84813,1,23,4.35
22841,9,208,4.33
21875,5,116,4.31
22487,17,396,4.29
23431,3,70,4.29
85034A,3,70,4.29
22635,8,187,4.28
22974,7,164,4.27
20914,34,798,4.26
22073,2,47,4.26
22972,8,188,4.26
37370,5,118,4.24
22997,8,189,4.23
22465,7,166,4.22
15034,4,95,4.21
23193,6,143,4.20
22303,10,239,4.18
21038,1,24,4.17
21422,2,48,4.17
21503,1,24,4.17
21942,1,24,4.17
22052,1,24,4.17
22181,2,48,4.17
22430,7,168,4.17
23023,1,24,4.17
23045,1,24,4.17
23225,3,72,4.17
84926F,1,24,4.17
85170B,1,24,4.17
21868,10,242,4.13
15039,3,73,4.11
23347,3,73,4.11
23401,3,73,4.11
23542,3,73,4.11
22627,13,317,4.10
23253,2,49,4.08
71038,2,49,4.08
85035A,3,74,4.05
79000,4,99,4.04
22098,6,149,4.03
21647,1,25,4.00
21846,1,25,4.00
22101,1,25,4.00
22128,3,75,4.00
22251,3,75,4.00
22761,1,25,4.00
35598D,1,25,4.00
47567B,5,125,4.00
84968C,2,50,4.00
85213,1,25,4.00
90200B,1,25,4.00
21216,10,251,3.98
21429,9,226,3.98
22333,11,278,3.96
23273,4,101,3.96
22191,16,407,3.93
22163,2,51,3.92
22393,2,51,3.92
22779,6,153,3.92
21871,11,281,3.91
23175,11,283,3.89
22306,4,103,3.88
22625,18,466,3.86
23172,9,233,3.86
21167,1,26,3.85
21198,2,52,3.85
21713,5,130,3.85
22042,1,26,3.85
22825,1,26,3.85
23042,1,26,3.85
84931B,1,26,3.85
85230G,1,26,3.85
85232A,1,26,3.85
84946,27,704,3.84
21714,5,131,3.82
22464,11,288,3.82
85036C,3,79,3.80
21464,4,106,3.77
22339,2,53,3.77
85132A,2,53,3.77
85170D,2,53,3.77
22665,9,240,3.75
18097C,2,54,3.70
20936,1,27,3.70
21317,1,27,3.70
21395,3,81,3.70
22342,2,54,3.70
22502,9,243,3.70
22791,10,270,3.70
23006,5,135,3.70
23428,1,27,3.70
79191B,1,27,3.70
22845,9,244,3.69
23197,7,190,3.68
85034C,5,136,3.68
82001S,4,109,3.67
22727,33,907,3.64
23026,2,55,3.64
35971,2,55,3.64
21430,12,331,3.63
82486,21,580,3.62
22994,6,166,3.61
23198,14,388,3.61
20801,2,56,3.57
20856,1,28,3.57
21361,2,56,3.57
22460,6,168,3.57
22681,3,84,3.57
20829,6,169,3.55
21155,13,367,3.54
23173,13,367,3.54
23221,4,113,3.54
22278,3,85,3.53
23170,12,340,3.53
23292,6,170,3.53
23433,3,85,3.53
22371,9,256,3.52
22358,4,114,3.51
22976,4,114,3.51
22800,5,143,3.50
21874,7,201,3.48
71053,9,259,3.47
84947,10,288,3.47
20705,1,29,3.45
22245,2,58,3.45
22659,18,522,3.45
22954,1,29,3.45
23568,1,29,3.45
23597,1,29,3.45
35965,1,29,3.45
85025C,1,29,3.45
21533,11,321,3.43
22207,4,117,3.42
22617,15,439,3.42
21394,4,118,3.39
22944,2,59,3.39
23240,17,502,3.39
22300,5,148,3.38
22153,3,89,3.37
22356,17,504,3.37
20985,3,90,3.33
21696,1,30,3.33
21822,2,60,3.33
22094,5,150,3.33
23183,2,60,3.33
37501,1,30,3.33
85054,3,90,3.33
85124B,1,30,3.33
23238,8,241,3.32
20956,2,61,3.28
22186,4,122,3.28
23224,2,61,3.28
23407,4,122,3.28
21896,3,92,3.26
22179,6,184,3.26
15044C,2,62,3.23
21272,2,62,3.23
21926,2,62,3.23
21973,1,31,3.23
23008,4,124,3.23
23160,2,62,3.23
23185,1,31,3.23
35648,2,62,3.23
79030D,1,31,3.23
84508B,1,31,3.23
84826,1,31,3.23
22766,15,469,3.20
20682,6,188,3.19
21428,6,188,3.19
22926,6,188,3.19
21257,5,157,3.18
22328,15,473,3.17
20725,42,1330,3.16
21471,3,95,3.16
21238,9,286,3.15
23004,4,127,3.15
16259,1,32,3.13
20707,1,32,3.13
21643,1,32,3.13
21648,1,32,3.13
22049,1,32,3.13
22276,2,64,3.13
22359,2,64,3.13
22646,9,288,3.13
22763,3,96,3.13
72816,1,32,3.13
84819,2,64,3.13
84820,1,32,3.13
84849A,1,32,3.13
84968D,1,32,3.13
72741,8,257,3.11
23469,2,65,3.08
37340,2,65,3.08
85132C,4,130,3.08
22109,5,163,3.07
23080,7,228,3.07
22138,27,881,3.06
21417,1,33,3.03
21455,1,33,3.03
21708,1,33,3.03
22031,1,33,3.03
22048,1,33,3.03
22932,2,66,3.03
21936,12,397,3.02
22087,8,265,3.02
22774,3,100,3.00
22327,5,167,2.99
22380,6,201,2.99
22492,10,335,2.99
22925,5,167,2.99
84032B,4,134,2.99
84880,2,67,2.99
85175,4,134,2.99
85199L,2,67,2.99
22158,8,269,2.97
23274,3,101,2.97
22967,4,135,2.96
16054,1,34,2.94
20838,1,34,2.94
21056,2,68,2.94
21285,1,34,2.94
21520,1,34,2.94
21586,2,68,2.94
22194,1,34,2.94
22326,18,612,2.94
22936,1,34,2.94
35651,1,34,2.94
84951A,1,34,2.94
85186C,1,34,2.94
21668,10,343,2.92
22730,14,480,2.92
21125,2,69,2.90
21789,2,69,2.90
22900,11,379,2.90
22914,4,138,2.90
23148,7,241,2.90
23288,4,138,2.90
23393,6,207,2.90
15056P,4,139,2.88
21259,7,244,2.87
22178,24,839,2.86
22664,3,105,2.86
22945,4,140,2.86
23123,2,70,2.86
79190A,1,35,2.86
85135B,1,35,2.86
85188A,1,35,2.86
22726,23,809,2.84
23199,21,739,2.84
21564,3,106,2.83
21937,6,212,2.83
22488,9,318,2.83
22605,7,247,2.83
21673,8,284,2.82
22897,5,177,2.82
23254,8,284,2.82
71459,11,390,2.82
22418,7,249,2.81
22947,3,107,2.80
20711,7,252,2.78
22414,2,72,2.78
23074,1,36,2.78
23140,1,36,2.78
23186,2,72,2.78
23297,4,144,2.78
23395,5,180,2.78
84508A,1,36,2.78
21669,10,361,2.77
23289,4,145,2.76
23397,5,181,2.76
20977,4,146,2.74
21469,2,73,2.74
84944,2,73,2.74
21749,3,110,2.73
21263,1,37,2.70
22243,3,111,2.70
22246,1,37,2.70
22352,9,333,2.70
22389,1,37,2.70
22647,1,37,2.70
22728,17,629,2.70
22981,2,74,2.70
23086,1,37,2.70
23180,1,37,2.70
23456,1,37,2.70
84754,1,37,2.70
22212,7,260,2.69
22988,9,335,2.69
85099B,44,1643,2.68
15044D,2,75,2.67
21156,8,300,2.67
22686,2,75,2.67
22844,8,300,2.67
84969,2,75,2.67
21217,7,264,2.65
21705,3,113,2.65
22427,12,453,2.65
22858,3,113,2.65
23403,3,113,2.65
79066K,3,113,2.65
20866,1,38,2.63
22154,3,114,2.63
22322,1,38,2.63
23094,2,76,2.63
72586,1,38,2.63
82613C,1,38,2.63
84031B,1,38,2.63
85180A,1,38,2.63
22367,12,459,2.61
22046,2,77,2.60
23302,5,192,2.60
16258A,1,39,2.56
21784,1,39,2.56
22165,1,39,2.56
22638,1,39,2.56
23028,3,117,2.56
23523,1,39,2.56
47580,2,78,2.56
21974,6,235,2.55
23081,3,118,2.54
82583,10,393,2.54
21039,2,79,2.53
22583,2,79,2.53
23210,4,158,2.53
21090,3,119,2.52
20704,1,40,2.50
21467,2,80,2.50
22596,6,240,2.50
23117,1,40,2.50
22794,4,161,2.48
22682,2,81,2.47
23120,2,81,2.47
85059,2,81,2.47
22998,11,448,2.46
23012,5,203,2.46
21288,1,41,2.44
21581,1,41,2.44
21821,1,41,2.44
21833,3,123,2.44
22050,1,41,2.44
22443,2,82,2.44
22472,2,82,2.44
22509,2,82,2.44
22683,2,82,2.44
23150,1,41,2.44
37500,2,82,2.44
84674,1,41,2.44
84821,1,41,2.44
84927F,1,41,2.44
85172,1,41,2.44
85174,2,82,2.44
84406B,6,247,2.43
22980,6,248,2.42
22068,2,83,2.41
22911,2,83,2.41
23256,8,332,2.41
23335,2,83,2.41
85183A,2,83,2.41
22812,3,125,2.40
22992,7,292,2.40
23374,3,125,2.40
20723,12,504,2.38
21066,1,42,2.38
21624,2,84,2.38
21775,1,42,2.38
22316,1,42,2.38
22345,1,42,2.38
22675,3,126,2.38
23518,1,42,2.38
35923,1,42,2.38
84843,1,42,2.38
22485,4,169,2.37
22834,7,295,2.37
21670,7,296,2.36
22381,7,296,2.36
22950,4,170,2.35
21068,3,128,2.34
23147,6,256,2.34
20728,23,989,2.33
21747,1,43,2.33
47422,1,43,2.33
85036B,1,43,2.33
85177,1,43,2.33
85204,1,43,2.33
22964,7,303,2.31
23182,6,260,2.31
22614,4,174,2.30
22860,2,87,2.30
22938,4,174,2.30
21559,10,436,2.29
23177,5,219,2.28
20840,1,44,2.27
21240,5,220,2.27
22332,3,132,2.27
22824,1,44,2.27
22949,2,88,2.27
23205,8,353,2.27
23413,1,44,2.27
84559B,1,44,2.27
20726,19,839,2.26
21340,6,266,2.26
21890,4,177,2.26
22399,2,89,2.25
23227,2,89,2.25
21672,7,314,2.23
22623,5,224,2.23
23082,6,269,2.23
23229,5,224,2.23
21830,2,90,2.22
22130,2,90,2.22
22305,1,45,2.22
22493,4,180,2.22
23525,1,45,2.22
22915,3,136,2.21
21913,2,91,2.20
22215,2,91,2.20
22318,2,91,2.20
23010,2,91,2.20
47566B,7,320,2.19
21373,1,46,2.17
22170,5,230,2.17
22262,2,92,2.17
22409,1,46,2.17
22588,3,138,2.17
22820,1,46,2.17
22912,2,92,2.17
23126,6,277,2.17
23415,1,46,2.17
37327,1,46,2.17
47563A,1,46,2.17
82613B,1,46,2.17
85071A,2,92,2.17
21931,17,791,2.15
22203,2,93,2.15
22592,2,93,2.15
22933,2,93,2.15
23526,2,93,2.15
48129,4,186,2.15
21870,3,140,2.14
22626,4,187,2.14
20733,1,47,2.13
20772,1,47,2.13
21041,3,141,2.13
21802,1,47,2.13
22272,1,47,2.13
22279,1,47,2.13
22428,2,94,2.13
23025,1,47,2.13
23411,1,47,2.13
23436,2,94,2.13
23454,1,47,2.13
23566,1,47,2.13
20724,16,755,2.12
22193,9,425,2.12
22622,5,236,2.12
21794,2,95,2.11
22152,2,95,2.11
22311,2,95,2.11
22863,2,95,2.11
23234,5,237,2.11
84509A,3,142,2.11
85099C,14,663,2.11
22384,20,951,2.10
22959,3,143,2.10
22971,5,238,2.10
22991,5,239,2.09
16219,1,48,2.08
21556,1,48,2.08
22260,1,48,2.08
22425,3,144,2.08
22545,1,48,2.08
22644,4,192,2.08
22902,2,96,2.08
23122,2,96,2.08
23132,3,144,2.08
23318,7,336,2.08
23380,2,96,2.08
23406,2,96,2.08
82616B,1,48,2.08
85123A,42,2020,2.08
23007,3,145,2.07
21731,11,533,2.06
22268,2,97,2.06
22691,2,97,2.06
22913,2,97,2.06
84792,4,194,2.06
22600,3,146,2.05
23255,3,146,2.05
15044B,1,49,2.04
21199,1,49,2.04
22426,3,147,2.04
23041,1,49,2.04
23091,4,196,2.04
23291,3,147,2.04
72799E,1,49,2.04
84755,11,540,2.04
22187,3,148,2.03
22192,7,345,2.03
23212,3,148,2.03
21703,5,248,2.02
22829,2,99,2.02
22273,6,298,2.01
22355,12,597,2.01
82482,18,894,2.01
21244,3,150,2.00
22041,4,200,2.00
22176,2,100,2.00
22199,2,100,2.00
22336,1,50,2.00
22854,3,150,2.00
22957,4,200,2.00
23087,1,50,2.00
84031A,1,50,2.00
85135C,1,50,2.00
85173,1,50,2.00
23184,4,201,1.99
22284,2,101,1.98
84536B,2,101,1.98
23152,3,152,1.97
23207,13,660,1.97
20727,21,1073,1.96
21682,1,51,1.96
22136,1,51,1.96
22470,16,817,1.96
22547,1,51,1.96
22601,3,153,1.96
22680,2,102,1.96
23106,1,51,1.96
47574A,1,51,1.96
82613D,1,51,1.96
21929,12,614,1.95
22329,3,154,1.95
85099F,13,667,1.95
82494L,16,826,1.94
21069,1,52,1.92
21675,1,52,1.92
22095,2,104,1.92
22598,1,52,1.92
22631,5,261,1.92
22678,2,104,1.92
22804,8,417,1.92
22939,2,104,1.92
23322,10,521,1.92
23524,1,52,1.92
84849D,2,104,1.92
85114B,1,52,1.92
21623,4,209,1.91
22139,16,839,1.91
22149,9,470,1.91
22632,7,366,1.91
23000,4,209,1.91
22741,3,158,1.90
22965,4,210,1.90
20981,4,212,1.89
21248,1,53,1.89
21774,1,53,1.89
22062,1,53,1.89
22366,3,159,1.89
22374,3,159,1.89
22439,3,159,1.89
22450,1,53,1.89
22568,8,424,1.89
22718,2,106,1.89
22865,11,583,1.89
22935,1,53,1.89
23314,2,106,1.89
23556,1,53,1.89
72351B,3,159,1.89
82616C,1,53,1.89
85036A,1,53,1.89
21733,13,692,1.88
22383,20,1063,1.88
22556,10,531,1.88
22377,2,107,1.87
22505,5,267,1.87
51014L,2,107,1.87
84032A,2,107,1.87
22672,3,161,1.86
22650,2,108,1.85
23204,8,433,1.85
23296,6,325,1.85
23427,2,108,1.85
70007,1,54,1.85
85232D,1,54,1.85
23014,3,163,1.84
23084,15,816,1.84
23201,14,766,1.83
22313,1,55,1.82
22405,1,55,1.82
22808,1,55,1.82
22818,3,165,1.82
22852,2,110,1.82
23131,2,110,1.82
23171,5,275,1.82
47599B,2,110,1.82
84535B,2,110,1.82
85061W,2,110,1.82
21481,7,386,1.81
21928,10,552,1.81
23247,5,276,1.81
23382,3,166,1.81
20712,9,501,1.80
21899,4,222,1.80
22147,8,444,1.80
22722,12,665,1.80
23286,3,167,1.80
20832,1,56,1.79
21166,11,613,1.79
22241,3,168,1.79
22811,1,56,1.79
23343,7,392,1.79
82484,11,615,1.79
22580,3,169,1.78
21242,4,226,1.77
21326,5,282,1.77
22441,3,170,1.76
22173,6,343,1.75
22434,2,114,1.75
22689,2,114,1.75
23328,5,286,1.75
22088,3,172,1.74
22677,2,115,1.74
35970,6,345,1.74
22457,17,984,1.73
22956,3,173,1.73
23241,5,289,1.73
21470,2,116,1.72
22250,1,58,1.72
22287,1,58,1.72
22321,1,58,1.72
22349,2,116,1.72
23398,1,58,1.72
23405,1,58,1.72
84849B,1,58,1.72
20752,2,117,1.71
22224,2,117,1.71
22151,5,294,1.70
15056BL,5,296,1.69
21577,2,118,1.69
22338,2,118,1.69
22468,2,118,1.69
22558,11,650,1.69
22645,4,237,1.69
22910,12,709,1.69
23119,2,118,1.69
85032D,1,59,1.69
22283,2,119,1.68
22571,3,179,1.68
22586,2,119,1.68
23309,5,298,1.68
22508,4,240,1.67
22546,1,60,1.67
22597,2,120,1.67
22653,2,120,1.67
23073,1,60,1.67
85185B,1,60,1.67
22752,5,302,1.66
21872,2,121,1.65
21787,3,183,1.64
23013,3,183,1.64
82581,5,307,1.63
20749,6,371,1.62
