StockCode,total_sold,d_num
84997B,4035,326
21094,7351,325
22492,26076,325
15036,21876,324
22352,2853,324
22570,3018,324
23256,2018,324
22725,1776,322
22142,3073,321
22771,5753,321
84029E,3707,321
21430,2704,319
21932,2467,319
22585,6062,319
22759,5207,319
23296,4879,319
84029G,2469,319
22489,9314,318
22663,3097,317
22745,1788,316
23103,3939,316
22429,1193,315
21137,11406,313
22908,4234,313
47566B,2291,313
23192,3286,312
22219,3372,311
22989,2697,311
21533,1317,310
21535,2460,310
23320,2635,310
22488,2911,309
23077,9662,308
84997C,3694,308
20975,6400,307
21672,4564,307
84988,3954,307
84945,10279,306
23308,5967,305
84347,7907,305
21122,5257,304
22171,1723,304
22627,792,304
22979,3920,304
22456,1452,303
22607,1269,303
22694,1612,303
85014B,1846,303
22940,1896,302
23581,4373,302
82581,3749,302
20676,4363,298
23583,3315,298
22752,1654,297
22499,1734,296
22964,2514,296
21892,2914,295
22569,2698,294
23309,7727,294
21877,5347,293
22273,4469,293
21156,3039,292
22844,826,292
22996,4552,292
82552,2922,292
15056BL,2779,291
20974,6734,291
23294,4292,291
21670,4004,289
22151,14877,289
22381,3169,289
22834,4633,288
84596F,3301,288
22795,1099,287
22169,1075,286
22851,2609,286
21086,6589,285
22992,4917,285
23236,2459,284
23241,2024,284
21933,2410,283
21484,1555,282
21918,7013,282
23188,3098,282
23311,2199,281
23328,2067,281
21888,1553,280
21671,4080,279
22646,3927,279
84947,8273,278
21238,3519,277
21326,10088,277
22464,3200,277
22898,2201,277
84030E,1423,277
20973,4007,276
21673,3994,276
21976,4967,276
22579,4808,276
22970,4246,276
23254,1664,276
22431,1981,275
23266,1975,274
23175,3066,272
23126,1089,271
23247,2060,271
23351,3058,271
20679,1630,270
21871,5265,270
22296,3055,270
23171,5966,270
23275,3642,270
23323,1426,270
21912,1575,268
23174,2956,268
22333,4391,267
23332,1996,267
85049A,2907,266
21558,1946,265
21900,3087,265
23082,2265,263
71477,6652,263
21154,3187,262
22027,4165,262
22505,1365,262
22637,2619,262
23169,1453,262
22158,2895,261
22690,1597,261
23354,3346,261
21340,928,260
22791,7336,260
21982,7346,259
22784,1214,259
22899,1982,259
20969,1876,257
21217,975,257
22037,3795,257
22087,3779,257
22501,1194,257
23231,7225,257
22271,1653,256
22631,3375,256
85014A,1133,256
22348,3863,254
23182,3414,254
22212,1422,253
22941,1572,253
23353,3735,253
82551,2791,253
M,7173,253
22563,2785,252
22746,1319,252
48188,2028,252
22751,1514,251
21506,4740,250
21980,6523,250
22840,891,250
23147,1845,250
71053,1639,250
84949,4665,250
22846,626,249
23264,1845,249
72741,5801,249
16161P,7226,248
21916,4363,248
23076,7920,248
22196,2385,247
22371,830,247
21164,1714,246
22294,5439,246
22721,910,246
22962,3681,246
23265,1680,246
23349,2857,246
23350,2593,246
20711,4198,245
23191,2176,245
20992,4365,244
22549,2992,244
21703,9272,243
21756,792,242
22030,5361,242
22418,6267,242
22980,2289,242
21216,1841,241
47559B,2004,241
48185,3429,241
84406B,1918,241
22605,709,240
84987,2928,240
20754,1356,239
22693,15940,239
22895,1980,238
23232,8626,238
21259,1128,237
23144,4894,237
22508,1516,236
22723,1059,235
22845,704,235
20983,2652,234
21901,1746,234
22432,1648,234
22502,1488,234
22596,3290,234
22904,1768,234
22991,3710,234
23148,2118,234
23582,4447,234
84997A,2525,234
22645,1757,233
22768,837,233
22971,2365,233
23196,1760,233
23238,1788,233
85053,1549,233
21380,2093,232
21868,2346,232
23230,7950,232
23234,1635,232
20717,2036,231
22274,1301,231
22622,1295,231
22665,1219,231
23367,2785,231
23570,1846,231
20970,1081,230
20979,3523,230
21497,8600,230
21974,2036,229
22303,2770,229
22398,2545,228
23109,2325,228
21124,3970,227
85049G,1580,227
22079,1715,225
22170,1023,225
23118,765,225
23172,3688,224
20675,2729,223
21242,3074,222
22654,1058,222
22297,3863,221
22896,1498,221
23052,571,221
23080,1003,221
84536A,2729,221
20677,3159,220
22195,1699,220
23165,2954,220
23168,2850,220
82578,1956,220
21035,2319,219
22623,920,219
23110,664,219
23229,1804,219
21899,2605,218
21429,1616,217
23333,2030,216
23571,2036,216
20982,2019,215
21240,3156,215
21499,6925,215
23329,1712,215
22716,3088,214
23154,2472,214
23177,2431,214
85048,1266,214
21500,6350,213
22435,2680,213
22712,4319,213
23078,6607,213
23100,2093,213
23310,11891,213
22295,2737,212
22796,554,212
21539,939,211
23146,781,211
21592,2151,210
22963,3071,210
23083,1860,209
23283,967,209
23306,2692,209
20981,1851,208
22670,1754,208
22767,761,208
17003,22963,206
21531,1473,206
21937,1591,206
22045,6502,206
22965,1318,206
21385,3564,205
21623,3255,205
21745,929,205
21989,2068,205
21993,1366,205
23000,3044,205
23389,1050,205
85049C,1198,205
21935,1763,204
22668,1965,204
22739,1588,204
21218,2058,203
21509,3581,203
22634,731,203
22534,4331,202
21078,2494,201
21239,2574,201
23393,769,201
22491,3910,200
84050,3139,200
21992,1163,199
22208,1289,199
22841,516,199
21507,3206,198
23012,1017,198
21704,5004,197
21876,3548,197
22978,2407,197
23184,778,197
23215,3547,197
22041,3812,196
22892,2461,196
22957,1749,196
22380,1156,195
23159,2283,195
23166,77916,195
23330,1761,195
21874,2852,194
22754,1802,194
23534,1207,194
22755,1577,193
23312,1365,193
21108,10082,192
23091,570,192
21519,3217,191
22919,1669,191
21981,5295,190
22302,2288,190
22562,1398,190
22917,1858,190
23101,1948,190
23504,1668,190
84792,775,190
22433,1341,189
22644,2052,188
22798,1643,188
22920,3329,188
84832,2607,188
21328,760,187
22737,1227,187
22906,1628,187
22918,1776,187
23158,2538,187
23242,1436,187
23302,1481,187
21917,4095,186
22916,1819,186
23176,2090,186
21411,722,185
21746,2974,185
22028,2915,185
22999,2875,185
20996,3057,184
23156,1638,184
22115,1495,183
22626,504,183
22995,2236,183
23112,472,183
23197,1368,183
20682,1140,182
21428,1099,182
22567,2368,182
22636,565,182
22926,569,182
23032,2264,182
23127,714,182
46000S,1551,182
48129,880,182
20668,12714,181
22301,2118,181
22530,3514,181
22997,2527,181
21787,8755,180
22089,1190,180
22131,1890,180
22635,657,180
22972,1715,180
23013,866,180
20978,1631,179
22548,1873,179
22855,2508,179
23190,1678,179
22179,796,178
23368,2155,178
20828,1012,177
21990,1219,177
23167,5666,177
22493,2354,176
22550,1102,176
22571,2207,176
22738,2007,176
22816,3438,176
23050,459,176
23397,434,176
23399,1823,176
23494,726,176
23005,4396,175
23395,696,175
21390,3781,174
22602,1962,174
23290,2367,174
23569,933,174
47504K,1958,174
48111,1107,174
21810,5305,173
21890,1075,173
21967,5166,173
22437,2727,173
22704,5275,173
22809,1198,173
23480,1719,173
48173C,1787,173
22897,1298,172
23497,2514,172
20751,973,171
22610,9146,171
23426,1232,171
22227,1969,170
22614,2957,170
22772,3345,170
22938,2321,170
22956,2003,170
23194,1754,170
22088,1698,169
22174,2688,169
22747,879,169
23049,435,169
23237,1044,169
21329,589,168
16156S,5800,167
20984,3809,167
21561,1227,167
21922,759,167
22120,505,167
22441,994,167
22669,1027,167
23130,918,167
21179,1785,166
22188,4844,166
22580,836,166
22753,918,166
22921,1648,166
22950,5180,166
23035,2089,166
21495,5800,165
22241,1788,165
22485,462,165
22564,2673,165
23129,942,165
22064,1608,164
22065,6440,164
23286,4901,164
23292,2082,164
23396,616,164
20829,1265,163
21098,3176,163
22531,3293,163
23382,1712,163
16237,4598,162
21135,2708,162
22327,832,162
22460,2381,162
22818,3162,162
22925,427,162
23352,1596,162
23535,1128,162
21902,1915,161
22430,544,161
47503A,2754,161
22649,751,160
22781,533,160
22994,2107,160
23014,800,160
22148,1819,159
22465,1965,159
22801,890,159
22943,1280,159
22109,1383,158
22672,1382,158
23233,5175,158
84596G,1662,158
21984,3309,157
22419,2812,157
22574,2124,157
22794,300,157
22974,1523,157
51014A,3621,157
85199S,2234,157
22366,722,156
22374,448,156
22439,1768,156
72351B,2060,156
21811,4332,155
21955,1159,155
21986,3985,155
22714,3367,155
22741,8328,155
23239,823,155
23342,367,155
22110,618,154
22573,2445,154
22813,2265,154
22986,4101,154
23210,2803,154
37448,1404,154
21903,1129,153
22093,1828,153
22161,4143,153
22584,2241,153
35961,2692,153
21257,489,152
21878,2397,152
22156,1875,152
22736,1102,152
37449,562,152
22329,1387,151
22466,2929,150
22601,2238,150
23145,2054,150
16169E,4563,149
20674,1373,149
22222,824,149
22713,3309,149
23152,545,149
82567,497,149
21243,2113,148
21260,1129,148
22743,867,148
37446,1297,148
21244,2131,147
21818,2699,147
21987,2050,147
21988,2194,147
22779,1535,147
22854,750,147
85227,1322,147
21158,1427,146
21584,1066,146
22744,833,146
22842,572,146
22982,1045,146
23287,1782,146
23390,725,146
21327,538,145
21508,2393,145
22094,2087,145
22187,1183,145
22773,1852,145
22775,2614,145
22930,1041,145
23157,2543,145
23212,2179,145
22402,1705,144
22426,660,144
22536,4721,144
22674,1274,144
22822,417,144
22968,729,144
23291,1549,144
23378,3419,144
47599A,2409,144
84510A,1063,144
21591,1187,143
21718,1289,143
21934,1288,143
22078,1300,143
22098,1957,143
22300,1450,143
22331,1768,143
22360,886,143
22400,1393,143
22600,1540,143
22890,366,143
23255,963,143
20977,1597,142
22055,1248,142
22059,1749,142
22210,914,142
22975,1118,142
23007,450,142
23162,1362,142
22425,434,141
22733,1471,141
23132,1022,141
23289,1553,141
23366,1923,141
48116,1419,141
22959,4876,140
22984,2678,140
22990,607,140
23002,2078,140
23297,4260,140
22072,813,139
22175,841,139
22436,2110,139
23102,1245,139
84509A,612,139
21041,576,138
21381,1699,138
21715,1141,138
22440,5897,138
22593,2049,138
22676,1040,138
22800,765,138
23029,1284,138
23031,1246,138
23346,2571,138
21162,1416,137
21716,1206,137
21870,1357,137
22810,908,137
23193,1855,137
23489,876,137
35471D,1668,137
22838,652,136
22839,364,136
22937,941,136
22945,2863,136
23404,969,136
85184C,1523,136
15056P,769,135
22537,1818,135
22588,605,135
23388,793,135
72760B,386,135
16161U,4075,134
21563,1358,134
21844,1814,134
22837,992,134
22914,428,134
23089,2136,134
23133,759,134
23163,1714,134
23288,4505,134
23434,1792,134
21452,745,133
21527,468,133
22915,2928,133
23051,335,133
23280,1995,133
23345,2398,133
23371,1505,133
46000M,1008,133
72351A,1248,133
C2,134,133
21588,1497,132
22097,1591,132
22606,305,132
23285,4679,132
85062,1380,132
21829,6462,131
22066,2248,131
22180,303,131
22942,581,131
22967,1161,131
85034C,1072,131
22091,1945,130
22483,726,130
22780,1340,130
23006,1699,130
23068,805,130
84032B,654,130
85175,5217,130
21115,523,129
21313,2843,129
21463,644,129
22024,2304,129
22061,565,129
22332,982,129
22927,395,129
23053,319,129
23128,436,129
21114,1352,128
22792,2313,128
23365,1531,128
20961,1029,127
22639,763,127
22758,1122,127
22859,1150,127
23506,2718,127
21494,1228,126
21658,773,126
21714,1085,126
22080,1182,126
22185,1428,126
22211,783,126
22365,730,126
22572,1265,126
22732,1522,126
22789,838,126
22817,1858,126
22819,1848,126
85132C,1404,126
21068,1535,125
21713,701,125
22576,1419,125
22594,1744,125
22603,1295,125
23092,509,125
23252,590,125
85040A,807,125
21534,327,124
21620,811,124
21983,2223,124
22544,4414,124
23111,296,124
22335,2024,123
22361,539,123
22675,1176,123
22696,694,123
23004,1862,123
23093,916,123
10133,2384,122
20963,1102,122
22099,1405,122
22805,1574,122
22812,1571,122
23090,2130,122
23299,983,122
23340,2465,122
23348,680,122
23374,2444,122
21619,900,121
22209,825,121
23213,1595,121
21833,2628,120
22075,1565,120
22421,1925,120
22522,923,120
22587,845,120
23008,421,120
23541,829,120
23546,3275,120
47567B,592,120
84580,335,120
21730,498,119
21872,1269,119
22315,761,119
22494,890,119
22849,308,119
23394,395,119
21819,2465,118
22186,801,118
22523,844,118
22566,834,118
22597,2534,118
22609,5636,118
22628,775,118
22653,1072,118
23270,1166,118
23407,250,118
23681,1548,118
75049L,6821,118
10135,1938,117
21116,489,117
22283,258,117
22586,796,117
23096,1007,117
21090,1672,116
21577,549,116
22338,4179,116
22468,467,116
23119,2156,116
23211,2208,116
20752,367,115
21832,785,115
22224,688,115
23081,454,115
21394,3822,114
21470,338,114
22121,333,114
22349,1341,114
22613,1488,114
22843,434,114
23028,1247,114
84971S,1679,114
21544,1872,113
21625,307,113
22076,1035,113
22207,1200,113
22412,877,113
22677,874,113
22757,1009,113
22815,1810,113
23189,1215,113
23376,2642,113
37370,2508,113
85015,2130,113
22434,779,112
22689,614,112
22976,1047,112
72807C,669,112
21875,2000,111
22154,3532,111
22848,302,111
22977,905,111
23155,2106,111
23437,1909,111
84828,954,111
21163,1176,110
21705,1377,110
21905,685,110
22358,456,110
22535,1716,110
22673,772,110
22858,1081,110
22931,794,110
22973,1192,110
23221,1461,110
23403,596,110
51014C,2462,110
79066K,739,110
85038,1018,110
22096,1364,109
22475,281,109
22894,291,109
23054,268,109
21033,922,108
21159,1109,108
22243,3055,108
22565,818,108
22604,1173,108
22852,354,108
23131,894,108
47599B,1451,108
84535B,1272,108
85061W,1986,108
85231B,798,108
21071,849,107
21355,777,107
21749,1900,107
22396,1182,107
22740,6625,107
22778,757,107
22807,676,107
23360,1151,107
85035C,1105,107
21258,425,106
21866,537,106
22231,869,106
22650,800,106
22955,1005,106
23370,1359,106
23427,228,106
23508,2476,106
84078A,357,106
85183B,977,106
21042,303,105
22047,3400,105
22377,1038,105
22520,705,105
22731,1075,105
23244,925,105
51014L,1936,105
82001S,1508,105
84032A,449,105
21616,755,104
22718,1560,104
22831,684,104
22891,345,104
22947,536,104
23079,250,104
23314,393,104
23505,1065,104
21084,2199,103
21564,1016,103
22119,348,103
22378,1685,103
22671,919,103
23424,413,103
23552,1731,103
84212,10297,103
85071B,1256,103
85206A,916,103
21464,244,102
21991,471,102
22095,1578,102
22664,642,102
22678,751,102
22939,448,102
23251,1646,102
23282,753,102
84849D,479,102
85049D,539,102
22372,221,101
22853,431,101
23507,2841,101
21245,1014,100
21615,840,100
22026,1572,100
22680,745,100
22710,4425,100
22711,2852,100
21880,1458,99
22284,901,99
22306,1138,99
22708,2775,99
23372,1296,99
84536B,1684,99
84818,1424,99
21927,622,98
22176,489,98
22199,384,98
22581,1090,98
22715,1506,98
22948,1456,98
23274,1142,98
23341,282,98
23438,1796,98
37450,668,98
85178,2371,98
21123,975,97
22774,2007,97
22829,215,97
23273,928,97
23531,963,97
21504,1884,96
21864,610,96
22375,253,96
22498,229,96
22695,695,96
22985,3750,96
23235,729,96
72800E,453,96
85032A,738,96
15060B,411,95
22268,1838,95
22364,519,95
22691,344,95
22814,1581,95
22913,327,95
23316,236,95
23334,2154,95
23369,901,95
23400,448,95
23490,539,95
23510,2298,95
23551,1617,95
79000,3808,95
21389,1018,94
21407,233,94
21906,483,94
22244,1617,94
22521,607,94
22651,1992,94
22902,1212,94
23122,2093,94
23380,2159,94
23406,435,94
23445,2667,94
23543,1228,94
47593B,1663,94
72817,1048,94
84012,1212,94
84279P,339,94
21382,1045,93
21794,501,93
21883,1368,93
22152,2351,93
22228,852,93
22311,1054,93
22312,503,93
22314,517,93
22445,472,93
22756,554,93
22763,191,93
22863,693,93
23499,1247,93
85032B,751,93
21471,495,92
21622,364,92
22428,221,92
23065,257,92
23214,777,92
23436,1929,92
47504H,948,92
15034,6419,91
21447,749,91
21466,267,91
22203,310,91
22334,684,91
22592,506,91
22679,647,91
22933,876,91
23267,1158,91
23281,1270,91
23338,405,91
23526,882,91
72349B,689,91
84519B,426,91
21363,209,90
21642,2452,90
22116,505,90
22262,924,90
22285,834,90
22291,1243,90
22912,270,90
85034B,884,90
85071A,976,90
21742,193,89
21896,949,89
21913,305,89
22081,595,89
22215,330,89
22318,396,89
22946,370,89
23010,285,89
23250,1103,89
21786,1589,88
21830,2599,88
21873,1586,88
22092,668,88
22130,1505,88
22236,308,88
22292,1088,88
22350,1356,88
22742,628,88
22922,1482,88
22928,251,88
23061,964,88
23357,435,88
23373,1563,88
23375,1327,88
72802C,1375,88
17091J,2066,87
20985,1017,87
21058,1049,87
21679,1054,87
22025,1776,87
22035,1406,87
22269,841,87
22357,324,87
22399,1130,87
22449,365,87
22717,1170,87
22762,145,87
23121,2465,87
23227,1592,87
23502,690,87
84950,3361,87
85054,551,87
21528,179,86
22153,2459,86
22735,673,86
22949,947,86
23498,1591,86
21700,1266,85
21809,1859,85
22155,2203,85
22403,1223,85
22500,240,85
22539,2824,85
22860,567,85
23048,564,85
23501,1772,85
23511,526,85
35953,3017,85
82599,421,85
85049F,374,85
21207,982,84
22023,1143,84
22070,874,84
22420,1199,84
22481,694,84
22608,4933,84
23217,1290,84
23500,1585,84
37495,428,84
85032C,597,84
21530,756,83
22132,935,83
22474,244,83
23461,839,83
23545,2475,83
21055,146,82
21578,586,82
21624,204,82
21735,210,82
21845,1907,82
21947,596,82
22278,244,82
22293,821,82
22376,193,82
22953,460,82
23433,1215,82
21063,483,81
21224,734,81
21781,138,81
22063,544,81
22068,437,81
22362,349,81
22681,627,81
22911,438,81
23331,1492,81
23335,359,81
23452,510,81
85183A,657,81
16235,2665,80
21012,567,80
21677,766,80
21744,367,80
22443,153,80
22472,293,80
22509,205,80
22683,575,80
23164,564,80
23377,1203,80
23485,259,80
37500,338,80
85174,497,80
21249,672,79
22286,1051,79
22473,437,79
22682,618,79
22797,146,79
22799,198,79
23120,1648,79
23444,79,79
37413,701,79
84596L,1039,79
85059,290,79
15044A,428,78
16238,1261,78
21110,775,78
21395,2812,78
21467,215,78
22118,219,78
22266,1861,78
22476,811,78
22533,1745,78
23034,947,78
23153,248,78
23228,1397,78
23268,1435,78
23392,592,78
70006,2620,78
72807B,350,78
20886,453,77
21039,510,77
21059,573,77
21070,1033,77
21383,772,77
21439,1322,77
22233,541,77
22582,1029,77
22583,529,77
23075,470,77
23220,930,77
84006,832,77
21617,473,76
22200,326,76
22478,1417,76
22575,622,76
23066,245,76
23269,755,76
23315,202,76
23359,979,76
23491,226,76
37447,757,76
47580,330,76
85036C,742,76
16225,762,75
20967,257,75
21206,1220,75
21391,975,75
21446,400,75
21867,266,75
22046,2250,75
22074,1001,75
22168,139,75
22249,645,75
22267,828,75
22514,261,75
22923,1281,75
23138,875,75
23271,1622,75
23470,220,75
23559,566,75
40016,5524,75
72802B,968,75
85176,626,75
21088,1576,74
21626,742,74
22220,214,74
22442,292,74
22705,1900,74
22782,241,74
22924,1188,74
23094,147,74
23187,2338,74
23530,1043,74
23536,613,74
85017B,947,74
15044D,630,73
16236,1296,73
20665,340,73
21609,761,73
21824,1450,73
22085,507,73
22422,971,73
22686,859,73
84969,295,73
85049H,448,73
21201,1175,72
22071,711,72
22117,1290,72
22123,443,72
22128,1729,72
22251,520,72
22981,436,72
23020,176,72
23085,374,72
85071C,607,72
21403,1718,71
21469,250,71
21636,917,71
21894,476,71
23067,277,71
23226,1199,71
23412,351,71
84944,564,71
85035A,263,71
15039,1559,70
16008,2892,70
21096,1143,70
21792,331,70
22261,520,70
22414,253,70
22477,1290,70
22599,1489,70
22685,543,70
23186,1982,70
23317,162,70
23347,827,70
23401,443,70
23432,1274,70
23542,484,70
84581,166,70
85212,2452,70
21823,1196,69
22107,293,69
22320,183,69
22496,243,69
22615,2024,69
22660,327,69
22706,2050,69
22832,155,69
22934,560,69
23181,185,69
23225,1297,69
23391,361,69
16045,8900,68
21109,837,68
21354,753,68
21706,229,68
21828,314,68
21865,223,68
22438,900,68
23123,900,68
23161,1608,68
23249,802,68
23486,267,68
21125,598,67
21126,488,67
21462,192,67
21789,799,67
22252,650,67
22480,613,67
22526,112,67
22905,478,67
23223,747,67
23358,528,67
23431,1432,67
85034A,492,67
21014,1233,66
21015,1251,66
21056,174,66
21211,816,66
21586,731,66
21788,1203,66
21793,296,66
22452,388,66
22532,1063,66
22760,259,66
22821,834,66
23483,1322,66
72807A,340,66
85231G,573,66
16016,1273,65
21408,225,65
21925,403,65
22354,700,65
22495,242,65
22519,370,65
22524,592,65
22540,2451,65
22893,1464,65
72232,3317,65
79191C,1105,65
84880,303,65
85078,1746,65
85199L,925,65
20686,255,64
22021,350,64
22217,765,64
22282,111,64
22309,293,64
22406,319,64
22471,360,64
22932,872,64
23222,776,64
23381,1487,64
84884A,286,64
85071D,362,64
21215,868,63
21465,193,63
22230,926,63
22277,355,63
22343,1705,63
22416,850,63
22515,237,63
22591,374,63
23336,200,63
23469,320,63
23550,1850,63
37340,2042,63
37342,1435,63
72818,1821,63
11001,1252,62
20846,647,62
21107,840,62
21399,2047,62
21448,327,62
22229,495,62
22276,253,62
22359,162,62
23414,139,62
23513,556,62
23514,458,62
23547,1575,62
23553,558,62
84819,811,62
84929,2244,62
10125,1226,61
21062,501,61
21402,1290,61
21650,2197,61
22232,623,61
22307,729,61
22319,1346,61
22340,993,61
22529,816,61
23009,209,61
23107,340,61
23419,438,61
84519A,477,61
15044C,272,60
20764,128,60
21171,424,60
21272,503,60
21926,414,60
22133,702,60
22684,464,60
23160,1404,60
23337,169,60
23418,534,60
35648,814,60
84459B,676,60
84558A,293,60
85114C,457,60
85132B,513,60
20658,328,59
20956,730,59
21358,328,59
21773,920,59
21949,613,59
22497,178,59
22546,2065,59
23033,685,59
23073,142,59
23224,719,59
23408,310,59
23515,558,59
62018,4402,59
85159B,622,59
85185B,291,59
20767,217,58
20986,462,58
21294,1536,58
21401,1010,58
21820,291,58
21822,615,58
22167,121,58
22325,153,58
22857,1156,58
23183,178,58
23339,150,58
85032D,630,58
85187,324,58
21043,443,57
21209,1142,57
21537,327,57
21724,372,57
21879,1027,57
22250,449,57
22287,750,57
22321,760,57
22363,454,57
22518,333,57
22589,323,57
22944,2704,57
23088,760,57
23398,591,57
23405,237,57
84279B,182,57
84849B,232,57
21208,873,56
22057,578,56
22245,1199,56
22247,485,56
85194L,901,56
20832,1034,55
22134,637,55
22770,83,55
22811,775,55
23178,312,55
23326,3370,55
23402,281,55
72802A,316,55
84817,951,55
85194S,1163,55
16014,13328,54
20801,848,54
21064,176,54
21287,1788,54
21361,91,54
21817,908,54
21948,418,54
22313,553,54
22405,347,54
22479,1078,54
22517,186,54
22785,212,54
22808,320,54
23099,132,54
23509,1043,54
23554,421,54
47421,975,54
84520B,481,54
21060,356,53
21356,304,53
21680,804,53
22198,873,53
23026,504,53
35971,423,53
70007,732,53
84459A,671,53
85232D,175,53
18097C,673,52
20761,110,52
21061,412,52
21248,187,52
21774,835,52
22062,559,52
22190,566,52
22342,833,52
22450,184,52
22525,458,52
22701,436,52
22935,673,52
23003,541,52
23556,438,52
35810A,603,52
47480,692,52
79030G,1364,52
82616C,277,52
85036A,211,52
15058A,148,51
20762,101,51
20765,96,51
21069,1868,51
21204,419,51
21557,300,51
21618,303,51
21675,525,51
22310,531,51
22339,2283,51
22513,135,51
22598,815,51
23423,202,51
23517,312,51
23524,465,51
23549,1300,51
85039B,491,51
85111,1407,51
85114B,394,51
85130D,552,51
85132A,455,51
85170D,355,51
16218,3760,50
20755,292,50
21111,789,50
21198,964,50
21262,268,50
21468,123,50
21682,177,50
22136,334,50
22547,738,50
23106,283,50
23379,1175,50
47574A,423,50
82613D,470,50
85130B,816,50
10002,823,49
20839,452,49
21398,1499,49
21803,1138,49
22163,626,49
22336,2283,49
22393,487,49
23087,830,49
23219,404,49
23512,485,49
84031A,174,49
84763,573,49
85135C,78,49
85173,434,49
85203,570,49
15044B,307,48
21199,864,48
21205,209,48
21400,837,48
21683,297,48
21739,143,48
22067,389,48
22135,262,48
