c3,pv,buy_cnt
1988433,17957,361
2303546,52352,2498
4533189,89861,2576
2493530,10426,116
4848899,11274,397
2070081,3384,90
2066340,10808,20
84264,94237,1301
160181,22140,1310
3439012,31515,3604
1323466,518,10
1884568,26695,1741
4217906,1044291,16265
4718844,169,11
3548883,151,5
4532706,5174,104
4263789,1130,23
3692903,5304,97
2311290,23673,1485
2025483,4346,778
722945,36110,1953
757910,20893,1223
2529187,71060,3302
801221,183835,7000
285583,287669,4532
401357,64082,937
3456641,15378,686
4130426,40191,412
3938045,18243,251
3338209,11806,435
4022701,460363,4508
119741,144602,2759
1859277,542341,3997
4498047,21988,575
1009182,27947,1030
3598912,154086,8228
1074254,45966,3284
3158249,153858,8555
547606,2611,72
4804883,27041,1824
2407396,15900,926
1646753,94948,2146
2940518,55089,1586
246844,4148,138
3944885,7534,338
16219,8449,256
3250334,10877,302
376030,9980,340
4129924,13595,490
4817527,29051,894
2313309,11867,595
890050,7509,412
4163659,117972,2031
4148053,99474,2913
2154867,34334,660
3694486,14722,159
203249,1393,71
4178970,1212,37
999755,21795,871
3549297,6492,112
1686309,15087,264
2106073,24072,617
4524771,2519,138
3252563,10587,80
2550060,4290,578
4550135,7486,421
3100080,3349,143
2656238,8710,203
1906712,20225,39
3422001,13960,889
3566895,4332,167
3607626,2334,99
1902453,10035,361
3102419,201567,1674
3253357,26733,367
3160926,99996,1417
1676308,12731,41
3017203,7745,173
4962280,155499,1741
570735,684403,15491
1392527,26051,127
4308141,45397,1967
4391936,68281,2425
2217187,32966,531
3833912,8031,106
3706169,3048,174
3189935,56288,3132
2803949,2559,26
4639855,48307,1352
4357323,754160,17948
1817004,93947,2701
4244487,288918,9172
200278,294853,5301
4602841,82400,2046
4874384,87496,2725
1169503,16382,583
903809,372290,17391
4834913,56174,1261
4170419,652302,7600
2321441,65386,1067
50601,91975,3617
3664107,36910,1976
4918438,150061,6403
1612623,27423,553
3788576,14596,249
1630295,9312,134
2433095,32398,794
1008362,63193,1444
2751787,3794,293
3758834,1478,36
5008466,10981,1030
3674869,2378,39
2896142,24501,1263
541347,3726,176
149656,470,9
4339360,14726,413
1920171,6635,269
3773865,2347,34
3234738,8167,282
1308514,253,3
384755,252693,2351
4069500,203066,4130
2337395,12931,634
3695050,25659,1059
2673821,6118,131
1826911,2024,76
4491457,8206,81
1735195,1158,4
4684862,20459,703
512076,2251,173
3164550,15396,1449
873792,24456,564
2459106,50164,984
4134062,6146,173
1275696,160629,1148
3092571,3188,218
163196,30964,1071
957119,18359,1774
3904106,34751,803
1061857,133643,603
965809,282606,12324
1273811,9388,102
1320530,83549,502
2558244,321224,3035
3720767,247686,3367
2774299,27013,2103
3776866,191292,10335
3985610,12887,1059
1231891,45165,2385
4882154,139429,3723
2058468,3216,113
144028,3223,262
4830567,791,48
1829891,10584,32
1104384,7755,38
2626421,38330,1028
1276095,9515,92
3361496,28512,507
3108882,11508,42
65362,25642,386
3898483,103235,3028
2737340,8292,285
2033408,63564,3792
321567,21209,645
4643350,570407,5816
2023387,5009,785
1107469,5747,366
1173843,2354,275
4728774,10160,611
3947630,1116,163
2612027,18651,510
4284875,165235,2599
4825728,28713,67
2887965,2495,121
611849,41439,2107
405755,100271,2618
339305,60771,2041
2629787,123435,2845
2455825,5194,320
3975787,139196,4379
3100408,2190,154
624370,5895,224
4974254,8299,387
1820842,13585,353
3184456,19761,504
620409,13785,863
3343024,12021,755
2566328,1939,68
2666911,4158,193
3264833,6057,597
4632044,6313,260
2253689,2156,47
1872294,15841,714
721664,11878,894
363644,679,14
2733371,49506,2805
3164069,618,75
846990,156146,7757
2979796,14170,865
2633883,6388,429
3025028,537,67
1879672,2904,170
2778281,68878,2903
3519978,5123,252
3430419,29880,2068
835895,242,26
3917972,18966,389
3500710,49866,2318
381850,183121,7527
4731191,155126,3534
1964754,11123,1189
3189162,131243,3329
1633142,2342,47
3919304,13108,278
3556548,1978,56
4829999,2625,83
1449177,64177,4163
4853207,20855,745
794153,5066,328
3694648,9292,117
2832009,43739,3285
490076,6849,35
2895013,3059,177
2950381,2257,80
4212922,5928,23
3848953,48061,2799
5045733,20703,367
1787510,201731,8509
810632,12031,819
874415,45279,4162
1922644,11491,424
3744190,5305,340
4615159,6669,179
5018044,1318,83
998114,2227,146
3866248,2484,111
4576874,79304,2193
5012555,5403,251
5030562,30374,394
2218582,16955,1638
4663501,5161,67
3985474,10518,322
1253595,23321,103
3593457,1886,22
101859,5043,219
2196412,21030,646
4174564,7653,51
1885829,5633,81
1729993,72247,1444
2921059,935,9
913035,5916,294
151648,13352,146
102272,120142,4032
1227327,8398,272
245030,35900,847
4921617,14961,734
1798067,914,2
1269883,20933,283
3232473,41330,1736
360294,57697,1702
1081037,9278,271
3400167,31871,712
4789432,357439,17725
2736436,65710,2402
703852,5054,14
904454,27973,2055
772629,87578,1380
68149,1887,88
4220691,7719,662
1175965,496,0
3010483,13714,325
4681109,755,49
4100652,3996,227
950439,6899,112
2704015,420,12
4134433,14148,369
4781613,4818,9
3855599,76882,584
4214800,4521,42
2181935,144510,673
3730378,13722,902
5028097,11455,164
2247787,54501,383
3807763,38589,490
4915680,27026,1341
295183,7993,308
2590256,63295,2399
3391862,16414,574
3373953,731,21
2428385,1433,8
284968,24008,805
2129263,1946,61
1954691,9394,355
3880463,31606,3268
924708,25812,363
3416804,7463,220
4077781,903,6
327651,6255,316
714348,1280,85
4048584,68283,2158
2872443,58468,990
5140516,4160,361
2290623,32171,1116
4672807,235248,9699
2087597,33082,218
3922126,10117,583
4580532,95137,1097
3999977,30564,1087
4082778,196996,3186
1850548,16066,431
3379070,1422,23
1573426,94796,2730
3415505,7633,259
3159480,17377,147
2986945,31262,246
3747679,2591,130
1102540,64123,2548
4152994,32772,669
5048062,12325,472
1041861,492,27
3294401,11426,124
4044753,4129,81
3800818,77545,1161
3465932,5109,118
4792801,1564,128
2922264,14224,85
1411462,3336,270
267209,61860,2175
2672392,7824,361
2553450,7166,252
3745824,17140,118
901282,49293,4393
499642,5662,41
4119922,5797,430
5091223,5332,484
2558204,45641,3310
583485,9674,769
2331312,37790,1117
1620537,16941,722
2604507,14968,763
4719814,114976,6427
1914382,9532,931
3797203,6451,330
3536601,8201,456
2232467,799,2
1601543,8664,1099
3883310,9108,306
940691,13,1
4301450,37168,2044
2321836,18215,2361
244923,6095,863
1046047,44177,1298
3354571,49624,1395
1250975,6748,200
862523,4047,198
3825436,2302,204
3835723,6898,263
3381583,62443,3107
895939,11486,962
4512393,23306,453
927764,13490,202
3860845,37895,1405
2013232,42071,529
2576484,44569,1719
3669044,29665,3332
4081518,1413,107
2462567,204336,1865
2228184,156122,2025
883960,331778,8461
1852398,10597,94
4321796,26765,521
2361828,39286,679
3208959,81537,921
237446,40863,389
4958794,41602,2004
2729004,3279,96
888921,3196,46
3113031,3533,89
3833754,4509,327
4424369,5512,105
2103768,5627,553
318219,8409,609
1204223,4910,74
3371868,56321,4602
2158079,101074,2707
3702593,118610,3550
3171095,34614,428
2535791,2650,107
3015852,85587,3225
917578,1509,38
3937192,11889,438
4780547,26968,749
2705662,5240,83
2157356,33752,1174
1956773,2905,85
3235112,1275,114
1864286,1495,39
1440390,5796,299
2533863,39438,1691
2977465,8498,696
1829804,15555,1408
4282670,34818,630
4286569,13266,1108
291898,1334,27
4086613,45850,1922
2872294,2614,200
4551473,757,54
3076855,6127,403
856718,21399,704
4340213,2943,120
983613,113371,1254
1629035,20987,406
2772071,13027,281
1360711,1967,44
107693,816,23
800581,80847,7950
3711641,13479,234
2174838,16027,235
4241691,833,63
3432990,2329,151
866945,170,16
72526,73755,1836
2156574,21245,491
4238676,54370,1189
3230909,19693,450
1567637,250201,8117
4936889,58659,871
4121221,11358,833
3604509,64863,2026
1342174,111,2
3380746,833,74
1488813,79939,680
1774298,1417,19
2124307,6881,676
297829,254,17
3768664,24071,501
3656803,75,2
2233438,3680,82
2518268,822,52
1611144,23458,1356
4141018,18247,242
1189158,24882,424
4368942,6790,95
922189,21748,768
4285553,17313,1466
448398,30744,795
4298656,39550,1155
1198404,5590,841
4869837,16706,1364
428367,22326,2304
2975713,10754,639
869231,27269,722
4282651,10498,436
1386805,5753,127
858800,11354,135
350027,5758,81
720666,5866,95
4294583,12023,795
999980,1397,21
3756841,2025,108
3444947,267,5
3252144,28391,219
2819188,5139,428
4794845,54640,1165
902410,12325,533
3054014,11696,725
1154246,54553,1341
3077776,8838,737
2837163,16728,1144
2270398,1466,19
3935164,15510,135
3566034,54805,1069
2732466,32489,580
3774512,43990,2416
3672452,32080,617
1014564,23517,561
861104,2615,26
1776295,8429,351
1349634,50148,1495
866301,131855,10224
2858794,95878,2803
2508553,1674,143
3138705,97526,1976
1957261,8758,185
2693696,125367,1569
167871,6961,5
450901,34142,2166
3173741,4072,82
330316,32444,2109
2450012,172,4
316352,5408,469
1943877,26041,462
3065645,159653,7707
2572604,108253,3583
3946580,1282,10
1628657,12281,1286
1045172,81708,4059
3616520,79513,2991
749203,10509,266
472985,8589,383
1467750,113434,689
3253210,29483,1535
2202384,46513,485
4654786,50618,2883
545259,7564,633
1994940,114025,1504
1125484,8347,102
4555262,2278,37
2805193,10310,523
1293225,19222,477
1526484,8683,156
941949,126542,1243
2241047,21097,863
3673501,84693,2147
3087458,24662,2548
1568197,177733,2947
235534,258665,5268
4513450,3515,23
323851,33566,452
1331853,21423,934
3059103,5483,420
2476560,65931,3778
1916025,5068,262
4138583,40427,2569
661759,5896,55
3378887,34972,889
2877672,77244,1819
2362370,30624,222
3209590,27242,892
4919077,87290,4636
3409740,13173,324
3675758,15687,505
4565874,18309,1450
3637176,518,17
4550637,2891,63
2251446,8939,433
4050612,74152,1522
622168,58683,302
4051859,35498,278
2221749,11333,554
4242717,94510,3247
2966303,49703,741
3220984,6159,725
4736474,4736,197
1415279,6483,393
2056274,14236,192
1807416,69899,1177
2891408,50550,2236
2738312,7499,278
3789342,4848,335
3623883,1760,16
2092246,7982,268
2728585,3783,172
4458428,66966,1559
3112817,63682,1154
4443922,6376,344
3277224,51353,2040
146830,34315,1342
2581941,42564,2270
4897718,16606,1047
4911958,7375,642
2878148,19976,887
286229,23638,729
3748100,1565,203
1944905,5011,284
1817077,6799,251
3829421,25048,781
2304296,76860,2532
1421739,7746,89
113102,24690,410
2667323,50193,1028
1277467,20981,509
4655941,30152,66
2565960,3021,6
834876,1270,15
784716,3410,70
3340725,69957,411
3335147,12075,149
1528701,24446,737
2976589,2976,118
4169506,14150,1159
3231625,97141,7259
1125862,48695,841
3072574,1264,31
2810146,13803,137
4470576,30728,1045
2750247,9207,40
2777825,4103,226
1572948,17914,1891
1506939,1527,40
2548944,3782,354
4391390,10649,577
1354236,27243,432
3886822,23906,400
2786309,3834,224
3323163,10772,143
3672513,1432,7
583014,22078,80
2495340,67247,4133
4218149,572,0
2530695,3086,37
1343555,25270,64
3419760,10870,594
152639,340,8
1524215,585,0
4303322,1787,151
582243,22472,933
845650,19618,917
2411901,1647,66
3962843,29534,1142
1248986,2968,91
1158475,40910,1486
4981793,1755,34
4978351,1485,3
3780321,1884,3
4743234,20378,249
3286546,502,5
1647415,3363,189
1297992,28172,2078
3912910,14064,954
542584,12731,1507
1127566,20636,1537
605882,22474,498
1844626,2102,40
3257290,4470,251
3779369,16068,862
4611962,9863,308
4242742,1232,45
898327,10011,264
4326723,3600,37
3791863,1902,18
3582241,25010,185
5150761,19013,295
3372283,5442,475
903158,5809,0
1040727,21341,176
1020087,58049,359
2296439,50943,2452
5052177,758,23
3053420,7637,263
8254,894,81
965505,278,11
4762182,12405,1099
1446405,5635,511
58498,17427,694
3398567,50976,2214
1127151,1344,24
1368409,4602,44
3867633,9351,265
2964603,28459,749
3862122,1264,119
4006013,21433,1237
4707763,1613,49
1265358,183813,9566
863375,18642,1573
5046132,16454,1433
4763051,23526,1766
1429156,19066,1238
4181817,2866,251
1506018,15909,862
2885889,3751,246
2702525,47048,1303
1451814,9501,820
3351726,35782,1357
3740459,30740,2107
1597811,998,104
4211233,1391,74
2485713,3989,282
194806,2965,59
1672186,1006,5
3455871,3312,21
4397248,5511,147
307943,5179,528
2194744,26820,2436
4784134,25700,1966
3504022,23089,519
2064089,2815,34
3177764,19182,822
553365,65761,1438
64179,32556,3853
668498,10641,267
2591545,11287,432
2612425,5039,228
1884322,48415,2979
410749,12080,240
3950077,5622,142
1376358,40139,2264
893651,9580,404
2815065,27306,1274
476283,17964,1456
3455617,19456,1439
1950457,3676,285
841696,23457,615
4396276,521,61
136225,329,27
318592,2277,163
2156156,14337,897
366112,65074,4461
1487591,7734,251
4893662,752,45
562672,25659,433
2420210,411,22
2085893,15431,1465
4901188,61508,1088
4003886,10075,173
2160135,2106,29
48094,6027,409
155172,50700,1828
1689352,13415,1232
3817434,1607,116
3619575,27153,1575
2448593,12808,903
4466876,46059,122
1530704,32834,524
3466318,7242,106
475867,8307,103
202297,17648,70
4894095,26112,1262
3323023,48539,141
4476428,95353,479
2890111,44060,312
4509358,45983,227
1888306,27230,422
884828,9770,77
3445085,79,2
4866919,4786,50
2892802,126253,819
2513189,2837,51
22129,19528,62
500212,21713,165
4712571,37572,757
2827444,81558,2038
306202,16149,341
1474371,48497,2585
1868423,27925,572
4185300,5154,56
339580,42728,2730
2201685,18586,934
3794706,25259,670
2306045,10375,86
35290,27247,271
2326411,3588,67
4847838,24774,280
1867533,11819,543
2479420,40978,381
4596496,439,1
1068933,78782,1859
1438507,37688,132
4018900,3056,261
1635194,5911,281
2644484,15192,477
2812993,5564,922
4238377,17287,1058
181348,10967,72
3567828,8745,178
4434812,8758,352
784830,19080,89
1875258,20610,888
5103246,1858,64
2066454,6422,23
1765288,12746,152
1833532,1860,127
4174942,6264,465
3786362,2894,71
4447409,2296,138
1373144,7008,156
4988053,2746,124
1186008,288,11
857232,292,17
2394030,23071,1028
380289,8164,770
1928278,42348,2478
4783832,799,33
347254,274,23
339124,9635,351
1834026,122188,7807
690811,16476,810
1451041,10104,199
472273,2162,150
2615163,8574,386
3597057,37994,241
753984,324499,4121
1648035,1380,148
2925160,54700,1734
2489066,20755,492
4193511,1687,40
1730376,6440,421
1388982,2308,100
4469639,907,41
3544253,11464,54
996449,30856,303
2672762,25473,466
1526856,17048,206
4633953,32189,1351
3749412,4346,289
864424,9427,174
3117587,1946,140
4320339,6703,39
4583884,58819,328
3983988,4124,19
3742652,7530,686
669425,3229,29
1943989,26261,660
4332385,417,9
3729292,7477,336
3911423,5964,69
2796506,6908,180
1901483,4489,255
1730594,13851,643
3836451,37903,1023
1756314,4603,335
3747017,94965,6771
2158870,7753,592
3320579,48024,1427
1419569,2689,258
3530487,21232,1573
1249923,9812,31
2340518,11768,163
4540978,16741,955
4889820,6047,190
447553,1619,86
2627037,154,7
210544,5995,210
1722855,50757,686
1972894,4202,301
3796207,17898,529
2384561,3091,303
2297500,66007,3934
569703,24037,1818
307335,6356,485
3248072,31011,2979
834620,1556,27
1982376,2216,26
3850614,14157,354
4310023,42223,1031
446701,28780,1104
3521896,1598,111
3563906,10016,385
1725832,12789,39
4525249,3192,0
4244990,17462,286
3176755,1810,97
4904396,3712,187
4338029,2700,126
401765,20267,309
322805,5869,834
784204,1808,70
2578010,265,29
3818023,2067,109
383749,113746,1744
106173,7107,385
671854,542,20
3209208,748,8
1626599,8628,270
4281067,4937,250
3102560,19322,1556
2042400,36534,3516
2341266,1782,29
1881956,32576,2303
2066955,35810,600
440901,23083,221
3177877,42040,2141
2030976,47992,2601
3121949,5554,39
4595718,5471,296
4151801,68473,707
135038,28316,302
1088357,1393,37
4826471,13157,341
4042890,5134,236
3083452,10761,331
3653910,5331,425
182615,6167,145
1981996,4662,244
1910296,6392,101
1691699,43400,1752
1277731,15550,653
3255541,1855,186
3354186,13729,1211
2753808,13726,1171
3410245,17677,852
3865465,14609,476
4197505,17532,968
831271,6224,201
2288327,421,9
3682757,4715,218
1868811,4686,259
876318,21237,1323
4672150,2780,141
4969568,32808,2262
3081594,25732,565
4808228,2826,107
2255207,1031,59
1694669,1877,167
937781,4019,397
2062239,3596,36
1113817,5030,238
79085,661,1
1780495,8970,718
4662072,22392,225
1150511,2297,74
359481,83,9
643645,46084,608
4015820,46147,1623
2367907,7071,171
3449559,4002,264
2632873,19286,1291
4372990,95,29
289692,16703,164
3388914,16251,133
338646,65268,1469
4049997,728,16
3902231,6769,598
767106,25846,1200
3708707,5760,113
2272151,3082,140
174490,4708,76
535180,17079,725
2782399,11102,514
3309245,5340,78
5091218,180,10
662846,34830,407
376840,4965,25
2817976,1986,21
991505,138,5
2978598,2359,69
3457718,30413,83
838946,14289,871
1457367,20888,281
562852,17736,126
3947859,8075,263
4559624,9075,507
4758477,46183,3193
140970,4700,90
2020240,16931,863
5003455,29697,366
4039865,5535,131
976550,878,63
3497230,17933,668
1849958,2466,120
5074895,1268,73
522951,16397,1073
1140683,247,2
1120543,780,10
2729610,4123,248
2992356,6381,142
1375362,2171,82
715319,12034,704
317647,8595,261
3736316,49882,1764
2212343,6509,85
79451,16039,516
3879559,6482,181
3805065,30296,470
3779986,7297,229
3864364,8023,559
1471163,36955,2227
3704829,1291,19
2492895,21884,1189
4921805,51120,1572
2154669,19019,1007
715487,9871,157
3407883,63857,2985
3233128,6941,473
4378501,2687,173
1488577,3094,49
4203730,31496,275
3100520,16993,292
58836,19347,2012
4188178,25314,502
1493374,1688,16
3280142,337,2
2671397,38614,2759
2914063,7598,18
4696710,23744,559
1276979,4468,96
128908,953,1
3126258,12104,23
2486578,11328,180
678559,506,12
2424221,97,1
3123784,56493,544
2195789,22916,1185
854059,17607,731
4336538,7120,283
305857,2342,150
2994558,8876,248
882095,12848,243
2786875,921,43
4669265,8486,297
3533346,994,12
2344159,3878,93
1445597,1079,16
2540093,18860,585
4589142,60446,304
2740196,706,11
526781,1421,79
4583654,19114,1357
2016952,849,68
1281227,8960,223
1012333,1281,165
2426236,14188,541
3090850,17349,856
4044118,3388,70
1737857,21087,975
431452,24886,1288
4292119,16894,509
4756730,2377,91
1485951,20865,388
3519828,1941,47
2729260,5120,245
1505776,54947,541
3641324,3299,91
1689624,28622,1864
2181439,2060,93
2466971,9019,773
2609943,2812,106
1721893,3220,325
1249761,43039,1324
4241245,7292,269
120033,11893,624
1818551,1553,53
3679920,11672,351
4865695,345,21
2480068,1464,120
4827153,10926,106
977169,448,15
3332130,10765,50
2878347,963,34
1905278,1811,5
2616773,3524,165
1479983,614,4
4135836,65296,1673
3461823,50144,2519
3446865,2751,44
2791234,7870,535
996587,5952,216
685330,5636,253
5127795,5215,105
1961543,3416,92
1813610,28461,1758
1082838,4667,88
2880419,9844,284
1338377,15332,606
2794490,4621,24
2903469,12152,248
4823943,4014,95
3991166,608,33
1013319,22530,618
2939779,523,14
266727,2668,69
3139583,18787,448
1419417,32357,1315
2721770,9613,730
158300,472,61
1573465,27062,2991
2587645,2974,2
4600680,1617,0
2438773,2050,112
3590468,6435,143
860357,6192,491
409729,3896,165
3454970,11780,477
2422417,7792,404
4625708,4555,259
3662596,4204,144
181182,29154,858
3790396,27650,331
1170772,9603,520
2649368,12022,342
381048,3960,88
3795340,5505,212
3926800,6235,186
1717476,9842,709
3248864,11847,960
4273662,26669,691
2779062,6513,205
4716920,3278,131
3461081,1238,82
3154837,2245,244
2322896,3286,202
606970,2793,103
137459,1260,10
10235,4593,45
547478,6060,158
350402,7480,112
2041411,422,2
2077723,5384,184
269234,8805,216
848854,6857,285
2812445,11529,501
754344,1374,43
5134623,8190,240
3118167,21910,752
2532699,6524,54
3635345,1755,10
865039,26450,847
4468927,5581,222
2723483,10860,278
1165503,39099,145
1936748,28481,2581
4392650,10363,1385
2582254,3613,337
4364882,13504,336
3829657,21046,382
4236628,8326,116
4757812,13143,143
2476651,93,11
4208912,3661,81
2596428,23687,266
4167958,22178,337
4276787,28340,923
3544014,7331,657
3627351,11472,1106
4268427,852,53
3620161,41744,229
1669167,14485,1080
3731630,1392,49
2764935,530,43
4587489,616,49
2425725,19500,330
1783394,1928,71
2278353,1325,55
3993644,13359,802
2773917,5846,262
255113,606,10
3874527,8722,182
3132593,9274,430
2409814,13835,767
2164274,6267,293
62469,5296,257
2468711,1631,51
1066563,3237,67
1868174,5199,71
3343095,20127,892
929749,2184,143
5108899,793,38
1977169,5166,143
1812396,4318,156
724320,21177,580
2201622,1557,79
3783926,1259,23
1454470,14429,299
3570656,19272,320
4750127,6433,592
127286,1119,5
4444302,34694,937
3582485,14961,200
3155703,15341,1294
653249,3079,104
1708445,6417,273
1391195,10178,332
1023823,10336,1564
1795157,16399,144
3405071,5020,272
4482419,8748,872
1560806,3043,2
1288487,59417,1661
3415144,18532,1449
2272488,19871,235
5029530,3110,346
1217732,937,56
1579551,4637,202
1050007,60638,1109
4621949,12515,350
2846152,5382,259
4625363,12854,125
5007081,14991,174
4098379,6098,191
4056794,4552,238
3464786,10486,144
4267003,29468,394
768709,1661,63
3422025,3156,219
1548278,57255,2674
3900668,4739,727
226341,7858,275
539513,11897,246
2751130,949,18
4605179,192,7
5064,27613,312
2507053,10300,564
4528620,2772,207
1665989,5383,429
1898686,12227,312
1990869,11335,673
3324385,1406,80
4600060,6719,61
1693998,6559,99
2684959,9842,83
3298361,10261,159
990723,2071,126
1040356,28761,444
2262787,3223,130
1615537,35155,394
2478177,7365,75
2037779,2510,53
3367924,16798,272
2794147,16207,1704
3924783,18486,667
3834955,9206,181
2966276,3371,68
4334671,5330,274
432873,13727,347
739663,4472,164
2561712,5448,226
4850823,560,41
2923541,11964,301
363144,7084,64
3394581,2302,45
2725426,35252,698
1422474,13219,858
515200,3431,60
3427814,1174,13
4317228,5283,687
605237,5530,356
3441583,32167,2108
4334077,13404,673
5125081,3994,394
1610764,11915,790
1528133,10332,1099
3075521,16240,377
1873826,4180,222
3827546,1490,140
4564007,2834,314
1136776,5907,227
1712001,54,494
1733466,5085,188
941706,9825,81
481472,1935,3
1016735,6097,18
4242495,731,30
4892920,3008,43
1410963,286,11
4103233,27,0
4553088,6379,94
1825059,95,1
667349,1477,25
96655,3577,60
1176344,2934,111
475026,982,10
3404739,9933,60
3685019,110,3
3199525,144,11
4032951,930,57
3917559,785,50
3683798,4739,28
4066962,20285,430
4627820,12752,495
2675427,12283,619
1544586,6315,303
1970375,2112,125
2989452,9517,590
1902627,2502,93
3360956,6588,51
922588,4102,254
960102,13424,648
4828523,1361,27
1508018,7812,965
4871255,10779,420
3349625,546,50
3891335,1361,34
1574064,6013,93
3401301,4096,92
2337136,2395,112
578983,33083,182
2713041,3371,302
4395670,1140,21
153285,12588,32
2168489,765,102
2204852,9836,556
3438670,104,0
3495606,23,0
2998328,8626,116
3303026,45243,715
751105,8493,136
2657849,264,4
2620182,3031,229
462551,2793,81
26128,85,0
3468569,642,4
1274417,3540,304
1561921,6095,750
1108912,20979,293
2049879,1161,115
3459562,45481,1328
3751366,12971,18
4355436,37181,216
2467853,2352,105
4096107,7178,245
4011278,16828,326
361095,551,43
2393184,14461,979
4144410,3842,163
1479868,1514,69
3274258,20830,416
2464463,3,126
2130314,7067,193
1929875,16921,815
2436637,22605,1274
949648,12528,468
4563628,6639,705
2636586,1480,101
2223246,2554,319
3369736,962,86
2730467,3162,335
3123187,12164,528
4676764,3182,188
750508,143,7
226943,1308,83
645479,3263,19
1855417,1209,7
1766039,6813,323
5028877,18587,644
832574,3318,34
3231861,13633,339
1139188,182,0
2602354,964,19
2210217,3385,213
4613485,4643,114
4723214,10392,153
597734,2373,47
4292858,3838,324
5063923,19033,1677
4517019,10391,263
4331400,16562,1956
4793839,497,24
3777010,4320,95
3311020,3123,86
61626,3786,217
1461887,1888,371
1382264,8743,323
3478949,832,3
747109,2649,284
803507,1455,118
4830705,6091,437
2617994,5171,170
1502525,389,69
85955,25118,3632
2948269,11146,354
642223,5655,363
240681,830,45
1281171,24401,520
3767409,27089,1106
1960675,1984,6
940822,11417,448
133377,22814,326
2273944,1477,80
86415,869,21
5126295,4936,115
3348105,4484,113
4864926,11624,251
1126526,8784,162
1090997,19247,670
4527263,2342,98
1664190,1140,27
3982336,9113,82
5068521,396,22
3395036,380,12
1711596,18635,704
138081,3331,358
564681,19796,661
2853993,27596,564
1000959,1496,17
2579035,29311,194
5146409,6269,197
1392765,691,22
546816,2771,75
2767575,1461,23
4939021,3325,24
3106495,4754,17
1490103,243,2
1264320,3385,180
2748804,40474,218
3478346,1155,72
4265386,980,78
886708,1953,57
2523199,2611,47
4432036,2497,70
3176349,1240,41
3795193,2816,92
3758209,31486,351
4350978,22592,1198
989763,11652,255
223764,40,1
2043591,15207,81
2276883,8896,323
3652646,5040,71
477292,12020,539
4876006,538,44
4503832,6773,264
3415438,536,41
1026507,28423,227
4908092,7842,283
984238,1022,98
3092897,1341,66
4900860,42,3
3358752,2104,13
1963052,15990,852
4928116,4657,4
3001296,12304,515
3147903,27668,116
5041265,5401,110
4877478,12192,869
2678261,21502,363
1030331,4635,322
791327,14778,652
2089582,8516,438
558076,2231,119
739426,23008,1512
389704,8287,536
8409,1384,90
4767956,364,3
5008221,18002,1192
944818,12085,435
5060750,2986,192
1308457,17857,216
1097635,2022,64
